,raceId,absGridDelta
0,421,0.0
1,422,0.0
2,423,0.0
3,424,0.0
4,425,0.0
5,426,0.0
6,427,0.0
7,428,0.0
8,429,0.0
9,430,0.0
10,431,0.0
11,432,0.0
12,433,0.0
13,434,0.0
14,435,0.75
15,436,0.15384615384615385
16,437,0.0
17,438,0.0
18,439,0.0
19,440,0.0
20,441,0.0
21,442,0.0
22,443,0.0
23,444,0.0
24,445,0.0
25,446,0.0
26,447,0.0
27,448,0.0
28,449,0.0
29,450,0.0
30,451,0.0
31,452,0.0
32,453,0.0
33,454,0.38461538461538464
34,455,0.0
35,456,0.3076923076923077
36,457,0.38461538461538464
37,458,3.4615384615384617
38,459,0.07692307692307693
39,460,0.23076923076923078
40,461,0.07692307692307693
41,462,0.0
42,463,0.0
43,464,0.46153846153846156
44,465,0.46153846153846156
45,466,1.2307692307692308
46,467,0.07692307692307693
47,468,0.5384615384615384
48,469,0.0
49,470,0.8461538461538461
50,471,0.23076923076923078
51,472,2.230769230769231
52,473,3.230769230769231
53,474,0.15384615384615385
54,475,0.6923076923076923
55,476,0.6153846153846154
56,477,0.46153846153846156
57,478,1.1538461538461537
58,479,0.8461538461538461
59,480,0.0
60,481,1.6153846153846154
61,482,1.0769230769230769
62,483,0.38461538461538464
63,484,2.0
64,485,0.07692307692307693
65,486,1.4615384615384615
66,487,1.0
67,488,0.46153846153846156
68,489,0.15384615384615385
69,490,1.9230769230769231
70,491,0.6153846153846154
71,492,0.4
72,493,1.0769230769230769
73,494,0.9230769230769231
74,495,0.3076923076923077
75,496,0.5384615384615384
76,497,0.16
77,498,0.0
78,499,0.16
79,500,1.6923076923076923
80,501,0.5384615384615384
81,502,0.5384615384615384
82,503,0.0
83,504,0.0
84,505,1.6153846153846154
85,506,0.3076923076923077
86,507,1.1538461538461537
87,508,0.0
88,509,0.23076923076923078
89,510,1.4615384615384615
90,511,1.1538461538461537
91,512,0.0
92,513,1.0769230769230769
93,514,0.3076923076923077
94,515,0.46153846153846156
95,516,1.5384615384615385
96,517,0.07692307692307693
97,518,1.8461538461538463
98,519,1.3076923076923077
99,520,1.1538461538461537
100,521,1.2307692307692308
101,522,0.5384615384615384
102,523,0.6923076923076923
103,524,1.4615384615384615
104,525,0.23076923076923078
105,526,1.2307692307692308
106,527,0.8461538461538461
107,528,0.0
108,529,1.8461538461538463
109,530,0.9230769230769231
110,531,0.15384615384615385
111,532,0.7692307692307693
112,533,0.0
113,534,0.24
114,535,0.64
115,536,0.8
116,537,0.48
117,538,0.16
118,539,1.12
119,540,0.48
120,541,0.0
121,542,1.0
122,543,0.38461538461538464
123,544,0.08
124,545,0.0
125,546,0.0
126,547,0.0
127,548,1.25
128,549,1.6153846153846154
129,550,1.0
130,551,0.32
131,552,0.0
132,553,0.7692307692307693
133,554,0.6923076923076923
134,555,0.7692307692307693
135,556,0.6923076923076923
136,557,0.07692307692307693
137,558,1.1538461538461537
138,559,5.615384615384615
139,560,1.5384615384615385
140,561,0.38461538461538464
141,562,0.8461538461538461
142,563,0.6923076923076923
143,564,1.6923076923076923
144,565,0.0
145,566,3.04
146,567,0.23076923076923078
147,568,0.32
148,569,0.0
149,570,0.16666666666666666
150,571,0.25
151,572,0.75
152,573,0.16666666666666666
153,574,0.4166666666666667
